縣市,城市編號,城市名,預報時間,氣溫,體感溫,風速,風向,氣壓,濕度,露點溫度,雲量,時雨量,預報信心,藍天指數,喝水指數,能見度,濃霧
臺中市,100,南屯區,2017012220,17,10.2,8.1,8,1023,53,7.3,8,-,60,35.5417,1,18,1
臺中市,101,后里區,2017012220,17.4,10,8.8,15,1022,49,6.5,0,-,60,18.5658,1,19,1
臺中市,102,和平區,2017012220,14.5,10.5,1.7,25,1025,45,2.7,0,-,60,59.9533,2,20,1
臺中市,103,外埔區,2017012220,17.2,9.1,11.4,18,1023,56,8.3,1,-,60,11.5039,0,18,1
臺中市,104,大安區,2017012220,16.8,8,14,20,1024,64,10,2,-,60,5.67464,0,16,1
臺中市,105,大甲區,2017012220,17,8.5,12.8,20,1023,60,9.2,1,-,60,6.54515,0,17,1
臺中市,106,大肚區,2017012220,16.8,9,11.4,11,1023,61,9.2,8,-,60,29.3476,0,17,1
臺中市,107,大里區,2017012220,16.8,10.8,6.1,6,1024,51,6.5,10,-,60,40.2361,1,18,1
臺中市,108,大雅區,2017012220,17.4,9.8,9.8,12,1022,53,7.8,2,-,60,20.4973,0,18,1
臺中市,109,太平區,2017012220,16.8,11,5.3,7,1023,48,5.8,7,-,60,33.5284,1,19,1
臺北市,10,信義區,2017012220,12,6.5,5.9,80,1030,75,7.6,32,-,60,5,0,14,1
臺中市,110,新社區,2017012220,16.2,10.6,4.3,9,1024,44,4,0,-,60,36.6003,1,20,1
臺中市,111,東勢區,2017012220,15.9,10.4,4.2,11,1024,45,4,0,-,60,33.7245,1,20,1
臺中市,112,東區,2017012220,17,10.9,5.9,7,1023,48,6,7,-,60,32.3912,1,19,1
臺中市,113,梧棲區,2017012220,16.7,8,14.1,17,1023,67,10.5,4,-,60,11.5733,0,16,1
臺中市,114,沙鹿區,2017012220,16.9,8.6,12.6,15,1023,62,9.7,4,-,60,16.6084,0,17,1
臺中市,115,清水區,2017012220,16.9,8.3,13.5,17,1023,64,10.1,4,-,60,12.4048,0,16,1
臺中市,116,潭子區,2017012220,17.4,10.6,7.3,10,1022,48,6.1,1,-,60,19.9282,1,19,1
臺中市,117,烏日區,2017012220,16.9,10.2,7.9,7,1023,54,7.4,10,-,60,41.2306,1,18,1
臺中市,118,石岡區,2017012220,16.8,10.5,5.9,11,1023,45,4.7,0,-,60,29.0888,1,20,1
臺中市,119,神岡區,2017012220,17.4,9.8,9.7,13,1022,52,7.5,1,-,60,17.8239,0,19,1
臺北市,11,內湖區,2017012220,12.1,6.7,5.8,77,1030,74,7.6,35,-,60,5,0,14,1
臺中市,120,西區,2017012220,17.1,10.6,7.1,8,1023,51,6.8,8,-,60,34.0375,1,18,1
臺中市,121,西屯區,2017012220,17.1,10,8.8,9,1023,54,7.6,6,-,60,30.1637,0,18,1
臺中市,122,豐原區,2017012220,17.4,10.5,7.5,11,1022,47,6,0,-,60,19.7128,1,20,1
臺中市,123,霧峰區,2017012220,16.4,11.1,4.5,5,1023,50,5.9,10,-,60,44.6993,1,18,1
臺中市,124,龍井區,2017012220,16.8,8.7,12.3,13,1023,63,9.6,6,-,60,22.0241,0,16,1
臺北市,12,北投區,2017012220,12.5,6.6,7.1,75,1029,73,7.7,33,-,60,5,0,14,1
臺北市,13,南港區,2017012220,11.9,6.6,5.6,76,1030,75,7.6,35,-,60,5,0,13,1
臺北市,14,士林區,2017012220,12.4,6.7,6.7,77,1029,73,7.8,32,-,60,5,0,14,1
臺北市,15,大同區,2017012220,12.3,6.6,6.6,79,1030,74,7.7,30,-,60,5,0,14,1
臺北市,16,大安區,2017012220,12.1,6.5,6.2,81,1030,74,7.6,30,-,60,5,0,14,1
臺北市,17,文山區,2017012220,11.6,6.4,5.6,82,1030,75,7.4,35,-,60,5,0,13,1
臺北市,18,松山區,2017012220,12,6.6,5.9,79,1030,74,7.6,32,-,60,5,0,14,1
臺北市,19,萬華區,2017012220,12.2,6.4,6.6,81,1029,74,7.6,28,-,60,5,0,14,1
高雄市,241,三民區,2017012220,20.3,16.3,4.2,317,1023,64,13.3,48,-,60,5,2,14,1
高雄市,242,仁武區,2017012220,20,16.2,3.4,313,1023,63,12.7,37,-,60,5,2,15,1
高雄市,243,內門區,2017012220,18,15.4,1.2,319,1023,63,10.8,27,-,60,5,2,15,1
高雄市,244,六龜區,2017012220,13.3,10,1.5,129,1027,79,9.6,15,-,60,69.2097,0,14,1
高雄市,245,前金區,2017012220,20.5,16.5,4.2,316,1023,64,13.5,50,-,60,5,2,14,1
高雄市,246,前鎮區,2017012220,20.8,17.3,3.4,314,1023,64,13.8,51,-,60,5,2,14,1
高雄市,247,大寮區,2017012220,20.9,18.5,1.3,300,1023,62,13.3,37,-,60,5,2,15,1
高雄市,248,大樹區,2017012220,20.2,17.9,0.8,281,1023,62,12.5,24,-,60,89.2799,2,16,1
高雄市,249,大社區,2017012220,19.8,15.9,3.5,314,1023,63,12.5,34,-,60,5,2,15,1
高雄市,250,小港區,2017012220,21,17.9,2.6,313,1023,64,13.8,50,-,60,5,2,14,1
高雄市,251,岡山區,2017012220,19.2,14.5,5,322,1023,63,12.1,34,-,60,5,1,15,1
高雄市,252,左營區,2017012220,20,15.8,4.5,318,1023,64,13,45,-,60,5,2,14,1
高雄市,253,彌陀區,2017012220,19.3,14.3,5.9,327,1024,65,12.5,38,-,60,5,1,15,1
高雄市,254,新興區,2017012220,20.5,16.6,3.9,315,1023,64,13.4,49,-,60,5,2,14,1
高雄市,255,旗山區,2017012220,18.2,16.3,0.5,268,1023,64,11.1,24,-,60,88.6817,2,15,1
高雄市,256,旗津區,2017012220,20.5,16.4,4.7,319,1023,65,13.8,53,-,60,5,2,14,1
高雄市,257,杉林區,2017012220,16.6,14.9,0.3,175,1024,67,10.5,23,-,60,91.9164,2,15,1
高雄市,258,林園區,2017012220,21.5,19.9,0.7,187,1023,63,14.1,45,-,60,5,3,14,1
高雄市,259,桃源區,2017012220,9,5.3,2.1,120,1025,90,7.4,28,-,60,5,0,12,1
高雄市,260,梓官區,2017012220,19.4,14.7,5.5,324,1023,65,12.6,40,-,60,5,1,14,1
高雄市,261,楠梓區,2017012220,19.8,15.7,4,316,1023,63,12.5,37,-,60,5,2,15,1
高雄市,262,橋頭區,2017012220,19.5,15.1,4.7,319,1023,64,12.4,37,-,60,5,1,15,1
高雄市,263,永安區,2017012220,19,13.8,6.5,332,1024,66,12.4,35,-,60,5,1,15,1
高雄市,264,湖內區,2017012220,18.4,12.9,6.8,339,1024,65,11.7,30,-,60,5,1,15,1
高雄市,265,燕巢區,2017012220,19.4,15.4,3.3,314,1023,62,11.9,28,-,60,5,2,15,1
高雄市,266,田寮區,2017012220,18.8,14.6,3.7,319,1023,62,11.2,29,-,60,5,1,15,1
高雄市,267,甲仙區,2017012220,14.4,12.2,0.6,101,1025,71,9.2,19,-,60,91.2365,1,15,1
高雄市,268,美濃區,2017012220,17.1,15,0.6,159,1025,68,11.1,21,-,60,77.5863,2,15,1
高雄市,269,苓雅區,2017012220,20.6,16.8,3.8,315,1023,64,13.5,50,-,60,5,2,14,1
高雄市,270,茂林區,2017012220,12.9,9,2.4,128,1027,83,10.1,18,-,60,78.3293,0,13,1
高雄市,271,茄萣區,2017012220,18.4,12.7,7.4,343,1023,67,12.1,30,-,60,5,1,15,1
高雄市,272,路竹區,2017012220,18.8,13.6,5.9,329,1024,64,11.7,31,-,60,5,1,15,1
高雄市,273,那瑪夏區,2017012220,10.4,6.9,1.5,115,1025,82,7.5,8,-,60,78.8978,0,14,1
高雄市,274,阿蓮區,2017012220,18.6,14.1,4.5,323,1023,62,11.1,29,-,60,5,1,15,1
高雄市,275,鳥松區,2017012220,20.4,17.1,2.5,310,1023,62,13,37,-,60,5,2,15,1
高雄市,276,鳳山區,2017012220,20.7,17.5,2.4,310,1023,63,13.3,40,-,60,5,2,15,1
高雄市,277,鹽埕區,2017012220,20.5,16.5,4.4,317,1023,65,13.6,51,-,60,5,2,14,1
高雄市,278,鼓山區,2017012220,20.3,16.2,4.7,319,1023,65,13.5,51,-,60,5,2,14,1
臺北市,8,中山區,2017012220,12.3,6.6,6.4,79,1030,74,7.7,31,-,60,5,0,14,1
臺中市,96,中區,2017012220,17.1,10.6,7,8,1023,50,6.6,7,-,60,33.2235,1,19,1
臺中市,97,北區,2017012220,17.2,10.6,7.3,9,1023,50,6.7,6,-,60,29.4199,1,19,1
臺中市,98,北屯區,2017012220,17.3,10.5,7.5,9,1023,50,6.6,4,-,60,25.4091,1,19,1
臺中市,99,南區,2017012220,16.9,10.6,6.8,7,1023,51,6.8,9,-,60,38.3531,1,18,1
臺北市,9,中正區,2017012220,12.2,6.5,6.4,81,1030,74,7.6,29,-,60,5,0,14,1
